NAME,Rarity Sum
Protardio #423,242.1
Protardio #825,242.10000000000002
Protardio #391,242.10000000000002
Protardio #840,242.20000000000002
Protardio #187,242.20000000000002
Protardio #172,242.20000000000005
Protardio #332,242.29999999999998
Protardio #226,242.29999999999998
Protardio #924,242.4
Protardio #814,242.5
Protardio #78,242.5
Protardio #315,242.50000000000003
Protardio #94,242.50000000000003
Protardio #175,242.50000000000003
Protardio #787,242.79999999999998
Protardio #932,242.79999999999998
Protardio #345,242.8
Protardio #773,242.99999999999997
Protardio #214,243.09999999999997
Protardio #947,243.1
Protardio #591,243.20000000000002
Protardio #508,243.20000000000002
Protardio #301,243.20000000000005
Protardio #290,243.20000000000005
Protardio #712,243.29999999999998
Protardio #834,243.29999999999998
Protardio #38,243.30000000000004
Protardio #894,243.39999999999998
Protardio #475,243.40000000000003
Protardio #60,243.50000000000003
Protardio #667,243.59999999999997
Protardio #526,243.59999999999997
Protardio #431,243.60000000000002
Protardio #398,243.60000000000002
Protardio #359,243.60000000000005
Protardio #645,243.7
Protardio #454,243.7
Protardio #720,243.70000000000002
Protardio #827,243.9
Protardio #122,244
Protardio #62,244.09999999999997
Protardio #343,244.20000000000002
Protardio #63,244.29999999999998
Protardio #560,244.3
Protardio #88,244.3
Protardio #676,244.39999999999998
Protardio #759,244.6
Protardio #149,244.6
Protardio #106,244.6
Protardio #435,244.60000000000002
Protardio #457,244.70000000000002
Protardio #69,244.70000000000005
Protardio #584,244.79999999999995
Protardio #828,244.79999999999998
Protardio #160,244.90000000000003
Protardio #791,245
Protardio #607,245.00000000000003
Protardio #305,245.00000000000003
Protardio #881,245.09999999999997
Protardio #544,245.10000000000002
Protardio #638,245.2
Protardio #654,245.2
Protardio #31,245.29999999999998
Protardio #789,245.39999999999998
Protardio #124,245.4
Protardio #476,245.5
Protardio #896,245.5
Protardio #159,245.6
Protardio #105,245.8
Protardio #71,246.1
Protardio #690,246.1
Protardio #155,246.1
Protardio #909,246.20000000000002
Protardio #699,246.29999999999998
Protardio #952,246.59999999999997
Protardio #913,246.6
Protardio #610,246.7
Protardio #649,246.70000000000002
Protardio #97,247
Protardio #995,247.1
Protardio #107,247.20000000000002
Protardio #629,247.3
Protardio #691,247.30000000000004
Protardio #777,247.40000000000003
Protardio #714,247.50000000000003
Protardio #781,247.6
Protardio #500,247.6
Protardio #954,247.60000000000002
Protardio #818,247.99999999999997
Protardio #523,248.1
Protardio #240,248.1
Protardio #151,248.2
Protardio #465,248.20000000000002
Protardio #54,248.20000000000002
Protardio #972,248.3
Protardio #553,248.3
Protardio #716,248.3
Protardio #288,248.4
Protardio #77,248.4
Protardio #198,248.50000000000003
Protardio #923,248.60000000000002
Protardio #128,249
Protardio #204,249.00000000000003
Protardio #4,250.29999999999998
Protardio #211,250.40000000000003
Protardio #605,250.50000000000003
Protardio #820,250.6
Protardio #140,250.60000000000002
Protardio #362,250.90000000000006
Protardio #481,251.20000000000002
Protardio #295,252.20000000000002
Protardio #434,252.70000000000002
Protardio #618,252.89999999999998
Protardio #8,253.10000000000005
Protardio #552,253.29999999999998
Protardio #826,255.3
Protardio #648,255.3
Protardio #985,255.6
Protardio #770,256.1
Protardio #411,256.1
Protardio #632,257
Protardio #751,257.1
Protardio #763,257.5
Protardio #730,258.1
Protardio #20,258.4
Protardio #752,258.6
