Attribute,Count,Percentage
Celine Shirt,6,0.6000
Chris Chan,5,0.5000
Cry Guy,4,0.4000
Eagle Shirt,3,0.3000
Fish Puff,6,0.6000
Geff Jorvette,5,0.5000
Gold Groupie,2,0.2000
Greem Jacket,5,0.5000
Green Blazer,3,0.3000
Green Tie,8,0.8000
Groupie Death,4,0.4000
Gucci Souvie,3,0.3000
Higher Arrow Shirt,13,1.3000
Ivy,9,0.9000
Jeff Gorvette,3,0.3000
LA Shirt,4,0.4000
Lambo Shirt,6,0.6000
Leopard Vest,8,0.8000
Meow,9,0.9000
Moshi,12,1.2000
NON3,6,0.6000
Not Green Jacket,9,0.9000
Orange Tie,6,0.6000
PBR,10,1.0000
Piano Shirt,6,0.6000
Pink Shirt,8,0.8000
Pink Sweater Vest Polo,9,0.9000
Purp Tie,10,1.0000
Purple Fit,4,0.4000
Red Puffer,4,0.4000
Saint Insane Shirt,3,0.3000
Scatter Fit,4,0.4000
Scatter Fit Red,8,0.8000
Scatter Fit Tile,5,0.5000
Shirt Black,5,0.5000
Shirt Blue,7,0.7000
Shirt Dk Green,10,1.0000
Shirt Dk Purp,12,1.2000
Shirt Gold,5,0.5000
Shirt Green,9,0.9000
Shirt Heart,6,0.6000
Shirt Lt Purp,8,0.8000
Shirt%TieDye,12,1.2000
ShirtAhegao,9,0.9000
ShirtBRG,7,0.7000
ShirtBeetle Game,7,0.7000
ShirtBib,8,0.8000
ShirtBlack Blazer,3,0.3000
ShirtBlank Tank,5,0.5000
ShirtBleached,7,0.7000
ShirtBulletproof Vest,7,0.7000
ShirtBurned Furs,5,0.5000
ShirtCDG Disney,6,0.6000
ShirtCactus Shirt,7,0.7000
ShirtCeline Mohair Horse,5,0.5000
ShirtChemtrails,4,0.4000
ShirtChore Coat,3,0.3000
ShirtChris Chan,1,0.1000
ShirtCollege Sweater,9,0.9000
ShirtCoolest Monkey,3,0.3000
ShirtCowboys,8,0.8000
ShirtDas Modul,7,0.7000
ShirtDiaper,3,0.3000
ShirtDigimon,5,0.5000
ShirtDinotrux,6,0.6000
ShirtDouble Breasted,5,0.5000
ShirtDrug Rug,5,0.5000
ShirtFirefighter,7,0.7000
ShirtFirefighter Skittles,8,0.8000
ShirtFleece Paisley Jacket,11,1.1000
ShirtFord,8,0.8000
ShirtFortnite Balenciaga,7,0.7000
ShirtFuture of Cute,14,1.4000
ShirtFuzzy Coat,6,0.6000
ShirtGlobehead,5,0.5000
ShirtGolds Gym,8,0.8000
ShirtGoosebumps,10,1.0000
ShirtGucci Donald Duck,4,0.4000
ShirtGucci Flash,9,0.9000
ShirtGucci Polo,4,0.4000
ShirtGucci Souvenir,5,0.5000
ShirtHim Ham,6,0.6000
ShirtHunter x Hunter,6,0.6000
ShirtIts Okay To Be Based,6,0.6000
ShirtJeff Gorvette,5,0.5000
ShirtJust Do It,6,0.6000
ShirtKing Bob,6,0.6000
ShirtKlaus Schwab,7,0.7000
ShirtKnit Sweater,5,0.5000
ShirtLab Coat,5,0.5000
ShirtLogang,9,0.9000
ShirtMarlboro Moto,4,0.4000
ShirtMeline Teddy,4,0.4000
ShirtMilady Happiness,12,1.2000
ShirtMilady Sonora Sprite,5,0.5000
ShirtMinecraft Polo Official,3,0.3000
ShirtMinions,9,0.9000
ShirtMoney Gang,7,0.7000
ShirtMotofox,11,1.1000
ShirtMy Milady,7,0.7000
ShirtNobu Suit,4,0.4000
ShirtParis Hilton,8,0.8000
ShirtPink,5,0.5000
ShirtPrison Uniform,9,0.9000
ShirtPunk Rock,5,0.5000
ShirtRat Tank,4,0.4000
ShirtRebirth,5,0.5000
ShirtRick and Morty Backwoods,10,1.0000
ShirtSailor Uniform,8,0.8000
ShirtSandwich,9,0.9000
ShirtScarface Suit,4,0.4000
ShirtShirt and Tie,4,0.4000
ShirtSkull Shirt,5,0.5000
ShirtSkull Sweater,7,0.7000
ShirtSnoopy,7,0.7000
ShirtSony Aquarium 2017,11,1.1000
ShirtSpongebob,12,1.2000
ShirtStone Island Puffer,7,0.7000
ShirtSupreme Fox Jersey,4,0.4000
ShirtTattoo Sheet,7,0.7000
ShirtTie Dye,5,0.5000
ShirtToyota Corolla 2000,6,0.6000
ShirtTraded Sister,6,0.6000
ShirtTubeT,5,0.5000
ShirtVersace Bathrobe,9,0.9000
ShirtVetements Zero Dollars,5,0.5000
ShirtWWE Champion Belt,6,0.6000
ShirtWhite,11,1.1000
ShirtXP,5,0.5000
ShirtYakuza Suit,7,0.7000
Silk Shirt,8,0.8000
Skull Shirt,6,0.6000
Stripe Shirt,3,0.3000
Weed Shirt,12,1.2000
Western Jacket,5,0.5000
blue tee,5,0.5000
new tee,4,0.4000
okay based,12,1.2000
ox xo,6,0.6000
,,
Text Overlay,,
Camo Gent,6,0.6000
Dance,9,0.9000
Earrings,13,1.3000
FriendSBF,5,0.5000
FriendSatya,9,0.9000
FriendWarpy,5,0.5000
FriendZuck,12,1.2000
Gent Gent,13,1.3000
Got Warps,9,0.9000
HB Left Frog,15,1.5000
HB Owl,9,0.9000
HB Panther,10,1.0000
Lumberjack Squeak,10,1.0000
NON3,440,44.0000
OverlayBulletproof,1,0.1000
OverlayChat Bubble,2,0.2000
OverlayDoomguy,2,0.2000
OverlayDragon Fire,4,0.4000
OverlayFraps,3,0.3000
OverlayHalo No Gun,3,0.3000
OverlayHearts,1,0.1000
OverlayMonster,1,0.1000
OverlayOrange,1,0.1000
OverlayR1 Blood,1,0.1000
OverlayR3 Blood,1,0.1000
OverlayScribble,3,0.3000
OverlayStars,2,0.2000
PetBananaseal,5,0.5000
PetBasilisk,5,0.5000
PetBitbird,7,0.7000
PetBurgerham,13,1.3000
PetCandlecat,9,0.9000
PetCrystalfox,8,0.8000
PetCubist,11,1.1000
PetCupcakepup,9,0.9000
PetDenki,10,1.0000
PetDonutdog,7,0.7000
PetDuchampiggy,12,1.2000
PetErnstlizard,10,1.0000
PetGriffin,5,0.5000
PetIcecreambunny,9,0.9000
PetInu,3,0.3000
PetJealousfish,9,0.9000
PetKaeru,11,1.1000
PetKaleidorabbit,10,1.0000
PetKappa,5,0.5000
PetKasai,5,0.5000
PetKraken,4,0.4000
PetMechabear,8,0.8000
PetMeteordog,7,0.7000
PetPaintcat,8,0.8000
PetPegasus,8,0.8000
PetPenguin,13,1.3000
PetPocketfox,11,1.1000
PetPuzzleturtle,11,1.1000
PetQuantumcat,6,0.6000
PetRobodog,8,0.8000
PetSadpuppy,7,0.7000
PetSandcat,11,1.1000
PetSaturnrabbit,8,0.8000
PetSchwittershorse,7,0.7000
PetShadowdog,11,1.1000
PetShybunny,6,0.6000
PetSleepysloth,6,0.6000
PetStarfoxer,15,1.5000
PetSunlion,10,1.0000
PetTaiyou,14,1.4000
PetTanuki,6,0.6000
PetTeacupdog,9,0.9000
PetTsuchi,9,0.9000
PetTzaracat,10,1.0000
PetWorryworm,7,0.7000
PetYama,12,1.2000
lisan,15,1.5000
,,
Weapon,,
NON3,969,96.9000
WeaponBABY_G Watch,2,0.2000
WeaponBlunt,1,0.1000
WeaponBugatti Watch,4,0.4000
WeaponDesert Eagle,5,0.5000
WeaponDisney Rolex,5,0.5000
WeaponKatana,5,0.5000
WeaponMinecraft Pickaxe,2,0.2000
WeaponMoney Phone,2,0.2000
WeaponPlaster,2,0.2000
WeaponSuper Soaker,1,0.1000
pePunch,2,0.2000
,,
Attribute Count,,
10 Attributes,25,2.5
14 Attributes,975,97.5
